,2025-09-30,2024-09-30,2023-09-30
Free Cash Flow,2474000000.0,2234000000.0,1828000000.0
Repurchase Of Capital Stock,-115000000.0,-577000000.0,-1148000000.0
Repayment Of Debt,-882000000.0,-1592000000.0,-543000000.0
Issuance Of Debt,1412000000.0,1381000000.0,1000000.0
Issuance Of Capital Stock,,0.0,-19000000.0
Capital Expenditure,-892000000.0,-901000000.0,-708000000.0
End Cash Position,512000000.0,593000000.0,830000000.0
Other Cash Adjustment Outside Changein Cash,,-40000000.0,
Beginning Cash Position,593000000.0,830000000.0,1934000000.0
Effect Of Exchange Rate Changes,22000000.0,59000000.0,169000000.0
Changes In Cash,-103000000.0,-296000000.0,-1273000000.0
Financing Cash Flow,-1045000000.0,-1942000000.0,-2580000000.0
Net Other Financing Charges,-140000000.0,46000000.0,147000000.0
Cash Dividends Paid,-1047000000.0,-963000000.0,-796000000.0
Common Stock Dividend Paid,-1047000000.0,-963000000.0,-796000000.0
Net Common Stock Issuance,-115000000.0,-577000000.0,-1167000000.0
Common Stock Payments,-115000000.0,-577000000.0,-1148000000.0
Common Stock Issuance,,0.0,-19000000.0
Net Issuance Payments Of Debt,530000000.0,-211000000.0,-542000000.0
Net Long Term Debt Issuance,530000000.0,-211000000.0,-542000000.0
Long Term Debt Payments,-882000000.0,-1592000000.0,-543000000.0
Long Term Debt Issuance,1412000000.0,1381000000.0,1000000.0
Investing Cash Flow,-2424000000.0,-1489000000.0,-1229000000.0
Net Other Investing Changes,-490000000.0,-508000000.0,-380000000.0
Interest Received Cfi,37000000.0,39000000.0,61000000.0
Dividends Received Cfi,43000000.0,65000000.0,60000000.0
Net Investment Purchase And Sale,-98000000.0,328000000.0,0.0
Sale Of Investment,,330000000.0,4000000.0
Purchase Of Investment,-98000000.0,-2000000.0,-4000000.0
Net Business Purchase And Sale,-1091000000.0,-568000000.0,-340000000.0
Sale Of Business,166000000.0,225000000.0,58000000.0
Purchase Of Business,-1257000000.0,-793000000.0,-398000000.0
Net Intangibles Purchase And Sale,-347000000.0,-329000000.0,-263000000.0
Purchase Of Intangibles,-347000000.0,-329000000.0,-263000000.0
Net PPE Purchase And Sale,-478000000.0,-491000000.0,-367000000.0
Sale Of PPE,67000000.0,81000000.0,78000000.0
Purchase Of PPE,-545000000.0,-572000000.0,-445000000.0
Operating Cash Flow,3366000000.0,3135000000.0,2536000000.0
Taxes Refund Paid,-653000000.0,-693000000.0,-539000000.0
Interest Paid Cfo,-327000000.0,-267000000.0,-208000000.0
Change In Working Capital,-40000000.0,186000000.0,-120000000.0
Change In Payable,468000000.0,892000000.0,679000000.0
Change In Inventory,-64000000.0,-36000000.0,-119000000.0
Change In Receivables,-444000000.0,-670000000.0,-680000000.0
Other Non Cash Items,753000000.0,797000000.0,624000000.0
Stock Based Compensation,82000000.0,68000000.0,54000000.0
Provisionand Write Offof Assets,-1000000.0,7000000.0,-50000000.0
Depreciation And Amortization,852000000.0,744000000.0,670000000.0
Amortization Cash Flow,183000000.0,150000000.0,134000000.0
Depreciation,669000000.0,594000000.0,536000000.0
Pension And Employee Benefit Expense,22000000.0,15000000.0,-13000000.0
Gain Loss On Sale Of PPE,0.0,-5000000.0,-4000000.0
Net Income From Continuing Operations,2927000000.0,2540000000.0,2245000000.0
