,2025-09-30,2024-09-30,2023-09-30
Tax Effect Of Unusual Items,-117151702.786378,-214520428.015564,-85362000.0
Tax Rate For Calcs,0.272446,0.312257,0.246
Normalized EBITDA,4582000000.0,4098000000.0,3657000000.0
Total Unusual Items,-430000000.0,-687000000.0,-347000000.0
Total Unusual Items Excluding Goodwill,-430000000.0,-687000000.0,-347000000.0
Net Income From Continuing Operation Net Minority Interest,1868000000.0,1404000000.0,1607000000.0
Reconciled Depreciation,852000000.0,744000000.0,670000000.0
Reconciled Cost Of Revenue,30677000000.0,28076000000.0,25567000000.0
EBITDA,4152000000.0,3411000000.0,3310000000.0
EBIT,2962000000.0,2361000000.0,2358000000.0
Net Interest Income,-356000000.0,-277000000.0,-175000000.0
Interest Expense,378000000.0,305000000.0,221000000.0
Interest Income,29000000.0,30000000.0,53000000.0
Normalized Income,2180848297.213622,1876479571.984436,1868638000.0
Net Income From Continuing And Discontinued Operation,1868000000.0,1404000000.0,1607000000.0
Total Expenses,42775000000.0,39054000000.0,35339000000.0
Rent Expense Supplemental,,192000000.0,182000000.0
Total Operating Income As Reported,2964000000.0,2584000000.0,2245000000.0
Diluted Average Shares,1699000000.0,1707000000.0,1745000000.0
Basic Average Shares,1697000000.0,1705000000.0,1743000000.0
Diluted EPS,1.099,0.822,0.91873
Basic EPS,1.101,0.823,0.91995
Diluted NI Availto Com Stockholders,1868000000.0,1404000000.0,1607000000.0
Net Income Common Stockholders,1868000000.0,1404000000.0,1607000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,1868000000.0,1404000000.0,1607000000.0
Minority Interests,-12000000.0,-10000000.0,-5000000.0
Net Income Including Noncontrolling Interests,1880000000.0,1414000000.0,1612000000.0
Net Income Continuous Operations,1880000000.0,1414000000.0,1612000000.0
Tax Provision,704000000.0,642000000.0,525000000.0
Pretax Income,2584000000.0,2056000000.0,2137000000.0
Special Income Charges,-410000000.0,-620000000.0,-299000000.0
Other Special Charges,31000000.0,203000000.0,-24000000.0
Write Off,8000000.0,3000000.0,77000000.0
Impairment Of Capital Assets,,146000000.0,60000000.0
Restructuring And Mergern Acquisition,371000000.0,414000000.0,186000000.0
Net Non Operating Interest Income Expense,-356000000.0,-277000000.0,-175000000.0
Total Other Finance Cost,7000000.0,2000000.0,7000000.0
Interest Expense Non Operating,378000000.0,305000000.0,221000000.0
Interest Income Non Operating,29000000.0,30000000.0,53000000.0
Operating Income,3295000000.0,2948000000.0,2568000000.0
Operating Expense,12098000000.0,10978000000.0,9772000000.0
Other Operating Expenses,7364000000.0,6924000000.0,6001000000.0
Depreciation And Amortization In Income Statement,1190000000.0,1050000000.0,952000000.0
Amortization,521000000.0,456000000.0,416000000.0
Depreciation Income Statement,669000000.0,594000000.0,536000000.0
Selling General And Administration,,11000000.0,10000000.0
General And Administrative Expense,,11000000.0,10000000.0
Rent And Landing Fees,,192000000.0,182000000.0
Gross Profit,15393000000.0,13926000000.0,12340000000.0
Cost Of Revenue,30677000000.0,28076000000.0,25567000000.0
Total Revenue,46070000000.0,42002000000.0,37907000000.0
Operating Revenue,46070000000.0,42002000000.0,37907000000.0
